_x         _y     pmRApmDEcor   PlxpmRAcor   PlxpmDEcor   Nper   RA_ICRS     e_RA_ICRS      DE_ICRS   e_DE_ICRS               Source           Plx     e_Plx         pmRA   e_pmRA         pmDE   e_pmDE        RUWE         Gmag       e_Gmag        BPmag      e_BPmag        RPmag      e_RPmag         BPRP      RVDR2  e_RVDR2  E(BP/RP)          RFG         RFBP         RFRP           nueff         pscol       ELAT            Solved          Pmemb      
-0.9508   -0.5114    0.1373    0.0158   -0.0600   23   118.38104131257    0.0344   -26.37260370831    0.0475   1111111111111111111       0.1207   0.0481      -2.056   0.049       2.532   0.043      1.000   16.223454    0.000176   16.529576    0.003771   15.903589    0.004023   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
 0.8686   -1.9489    0.1821    0.0304   -0.1967   23   118.41489092491    0.0344   -26.39656669430    0.0475   1111111111111111111       0.3209   0.1282      -2.568   0.132       2.685   0.114      1.000   17.985460    0.000453   18.512539    0.018954   17.414828    0.013513   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
 0.0960    0.5905    0.0319    0.1184   -0.1233   23   118.40051512165    0.0344   -26.35424014084    0.0475   1111111111111111111       0.0934   0.0249      -2.422   0.026       2.214   0.022      1.000   14.833783    0.000090   15.040814    0.001423   14.639630    0.001728   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
-0.0777   -0.1081    0.0370    0.1428    0.0737   23   118.39728501421    0.0344   -26.36588276179    0.0475   1111111111111111111       0.0495   0.0124      -2.474   0.013       2.587   0.011      1.000   13.141321    0.000041   13.308536    0.000569   12.995569    0.000705   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
-0.7019    0.5850    0.1614    0.0220   -0.1438   23   118.38567441794    0.0344   -26.35433045333    0.0475   1111111111111111111       0.1614   0.0367      -2.536   0.038       2.362   0.033      1.000   15.672867    0.000135   15.920058    0.002462   15.429181    0.002871   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
-0.0820   -0.3887    0.0693   -0.0427   -0.2700   23   118.39720352983    0.0344   -26.37055996422    0.0475   1111111111111111111       0.1333   0.0189      -2.465   0.019       2.327   0.017      1.000   14.206640    0.000067   14.394547    0.000992   14.035344    0.001218   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
 0.4000    0.9637    0.0667    0.0384    0.0178   23   118.40616966544    0.0344   -26.34802046553    0.0475   1111111111111111111       0.1312   0.0450      -2.752   0.046       2.646   0.040      1.000   16.092877    0.000165   16.380825    0.003386   15.796399    0.003720   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
-0.6429   -0.7396    0.1545    0.0282    0.0363   23   118.38676945927    0.0344   -26.37640773412    0.0475   1111111111111111111       0.2374   0.0440      -2.423   0.045       2.392   0.039      1.000   16.047674    0.000162   16.330082    0.003266   15.757799    0.003618   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
-0.0004   -0.3165    0.1098    0.0186   -0.0591   23   118.39872151677    0.0344   -26.36935553524    0.0475   1111111111111111111       0.2766   0.0145      -2.533   0.015       2.403   0.013      1.000   13.560217    0.000050   13.732982    0.000703   13.407313    0.000870   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
-0.1672    1.8442    0.1299    0.0480   -0.1061   23   118.39561993032    0.0344   -26.33334727046    0.0475   1111111111111111111       0.1215   0.1008      -2.519   0.104       2.463   0.090      1.000   17.591413    0.000361   18.080413    0.013059   17.056098    0.009999   424.139883      9.99    9.99    1.277    2480.451     424.140     638.993    1.4916583    1.4539965   -46.13244835226   31   1.00 
