_x         _y     pmRApmDEcor   PlxpmRAcor   PlxpmDEcor   Nper   RA_ICRS     e_RA_ICRS      DE_ICRS   e_DE_ICRS               Source           Plx     e_Plx         pmRA   e_pmRA         pmDE   e_pmDE        RUWE         Gmag       e_Gmag        BPmag      e_BPmag        RPmag      e_RPmag         BPRP      RVDR2  e_RVDR2  E(BP/RP)          RFG         RFBP         RFRP           nueff         pscol       ELAT            Solved          Pmemb      
 1.3616   -2.8806   -0.2848   -0.1249    0.2378   23   264.50261331466    0.1030   -35.47054070630    0.0877   1111111111111111111       0.3522   0.0788      -0.665   0.081      -2.156   0.070      1.000   17.163419    0.000285   18.142485    0.014175   16.207968    0.005083   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
-0.3779   -0.1750   -0.0770   -0.2550    0.2814   23   264.46702032237    0.1030   -35.42543864486    0.0877   1111111111111111111       0.3250   0.0118      -0.423   0.012      -2.053   0.010      1.000   12.841305    0.000036   13.307068    0.000591   12.185004    0.000491   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
-0.0927    0.4086   -0.3790   -0.3239    0.3899   23   264.47285289746    0.1030   -35.41571243438    0.0877   1111111111111111111       0.2237   0.0118      -0.220   0.012      -2.084   0.010      1.000   12.626525    0.000032   13.087741    0.000531   11.974370    0.000443   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
 0.1192    0.6024   -0.0637   -0.0639    0.2916   23   264.47718737863    0.1030   -35.41248286081    0.0877   1111111111111111111       0.2911   0.0139      -0.385   0.014      -2.004   0.012      1.000   13.447287    0.000047   13.928388    0.000808   12.776746    0.000655   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
-0.4727   -1.4996    0.0658   -0.0833    0.0452   23   264.46507784299    0.1030   -35.44751751424    0.0877   1111111111111111111       0.2090   0.0140      -0.461   0.014      -1.988   0.012      1.000   13.461981    0.000048   13.965352    0.000824   12.773396    0.000653   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
-0.7235   -1.3801    0.3253   -0.2341    0.3808   23   264.45994673000    0.1030   -35.44552582566    0.0877   1111111111111111111       0.4258   0.0345      -0.461   0.036      -2.048   0.031      1.000   15.545198    0.000127   16.147276    0.003012   14.783681    0.001962   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
 1.0085   -0.0980   -0.1633    0.0127    0.3443   23   264.49537474551    0.1030   -35.42415510324    0.0877   1111111111111111111       0.5376   0.0261      -0.290   0.027      -2.275   0.023      1.000   14.940750    0.000095   15.486797    0.001949   14.218607    0.001404   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
 3.3185    1.5281   -0.1126    0.1120    0.2593   23   264.54259906519    0.1030   -35.39705049329    0.0877   1111111111111111111       0.3293   0.1043      -0.583   0.107      -2.172   0.093      1.000   17.648193    0.000373   18.747884    0.023880   16.646819    0.007070   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
-0.2569    1.8650   -0.2668   -0.0404    0.1805   23   264.46949595365    0.1030   -35.39144267050    0.0877   1111111111111111111       0.2844   0.0405      -0.144   0.042      -2.081   0.036      1.000   15.875439    0.000149   16.561970    0.004042   15.059708    0.002324   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
-0.6477   -1.2618   -0.4108   -0.1453    0.2249   23   264.46149931425    0.1030   -35.44355434846    0.0877   1111111111111111111       0.2584   0.0310      -0.584   0.032      -1.844   0.028      1.000   15.311507    0.000113   15.884187    0.002520   14.569975    0.001724   84.890040      9.99    9.99    1.564     899.501      84.890     235.451    1.2735210    1.2600079   -12.07149673410   31   1.00 
