_x         _y     pmRApmDEcor   PlxpmRAcor   PlxpmDEcor   Nper   RA_ICRS     e_RA_ICRS      DE_ICRS   e_DE_ICRS               Source           Plx     e_Plx         pmRA   e_pmRA         pmDE   e_pmDE        RUWE         Gmag       e_Gmag        BPmag      e_BPmag        RPmag      e_RPmag         BPRP      RVDR2  e_RVDR2  E(BP/RP)          RFG         RFBP         RFRP           nueff         pscol       ELAT            Solved          Pmemb      
-0.0669   -1.2076    0.0429    0.1051    0.0420   23   129.64877648147    0.0464   -38.90116444292    0.0560   1111111111111111111       0.1288   0.0486      -3.355   0.050       2.814   0.043      1.000   16.246354    0.000178   16.739446    0.004441   15.690428    0.003477   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
-1.9710    1.5064   -0.0327    0.1584   -0.0926   23   129.60802420038    0.0464   -38.85592918563    0.0560   1111111111111111111       0.1573   0.0911      -3.190   0.094       2.813   0.081      1.000   17.419006    0.000328   18.077994    0.013046   16.725031    0.007594   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
 0.3796    1.3019   -0.0273    0.0955   -0.0159   23   129.65833342389    0.0464   -38.85933952105    0.0560   1111111111111111111       0.0427   0.0547      -3.219   0.056       2.766   0.049      1.000   16.479884    0.000200   16.979235    0.005330   15.919689    0.004103   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
-0.2485    2.5110   -0.0125   -0.0102   -0.0390   23   129.64489208186    0.0464   -38.83919369344    0.0560   1111111111111111111       0.1418   0.1030      -3.239   0.106       2.719   0.092      1.000   17.627198    0.000368   18.242827    0.015055   16.965996    0.009279   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
 1.3298    1.9920    0.0226    0.1908    0.1193   23   129.67866752185    0.0464   -38.84783931967    0.0560   1111111111111111111       0.1707   0.1047      -3.400   0.108       2.820   0.093      1.000   17.654728    0.000374   18.274318    0.015468   16.990346    0.009465   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
 0.7543   -0.6304    0.0760    0.2198   -0.0362   23   129.66636086183    0.0464   -38.89154337926    0.0560   1111111111111111111       0.1500   0.0427      -3.262   0.044       2.734   0.038      1.000   15.986709    0.000157   16.478831    0.003660   15.432709    0.002902   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
 2.2371    0.3690    0.0276    0.1499    0.1189   23   129.69810114212    0.0464   -38.87488297279    0.0560   1111111111111111111       0.1200   0.0900      -3.345   0.093       2.609   0.080      1.000   17.396472    0.000324   18.053737    0.012779   16.703702    0.007466   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
 0.7953   -1.9903    0.0276    0.2496   -0.0528   23   129.66724580108    0.0464   -38.91421142793    0.0560   1111111111111111111       0.1393   0.0805      -3.089   0.083       2.798   0.072      1.000   17.200901    0.000291   17.820354    0.010499   16.537685    0.006550   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
-0.5821   -1.3993    0.0357    0.0949   -0.1120   23   129.63774176776    0.0464   -38.90435920914    0.0560   1111111111111111111       0.2634   0.0672      -3.286   0.069       2.729   0.060      1.000   16.871020    0.000245   17.395521    0.007413   16.287860    0.005412   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
-0.4147   -1.7364   -0.0081    0.1887   -0.0465   23   129.64132759436    0.0464   -38.90997982583    0.0560   1111111111111111111       0.0636   0.0247      -3.258   0.025       2.992   0.022      1.000   14.815193    0.000090   15.692794    0.002121   13.981606    0.001167   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
-1.7512   -1.4113    0.1007    0.1725   -0.0044   23   129.61270346879    0.0464   -38.90455836233    0.0560   1111111111111111111       0.0919   0.1079      -3.340   0.111       2.729   0.096      1.000   17.705261    0.000385   18.330969    0.016241   17.036160    0.009828   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
 1.4986   -1.0059    0.0191    0.1210    0.0847   23   129.68230302942    0.0464   -38.89780066086    0.0560   1111111111111111111       0.1883   0.0879      -3.199   0.091       2.629   0.078      1.000   17.356104    0.000317   17.945224    0.011679   16.716827    0.007577   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
 1.0827   -0.1545    0.0874    0.0777    0.0237   23   129.67339093378    0.0464   -38.88360987311    0.0560   1111111111111111111       0.1347   0.0553      -3.433   0.057       2.852   0.049      1.000   16.499552    0.000202   17.000552    0.005419   15.937664    0.004157   252.563576      9.99    9.99    1.336    1802.210     252.564     529.630    1.3785924    1.3620652   -54.52058855513   31   1.00 
